Task ID,Occupation (O*NET-SOC Title),Task,User ID,Date,Self-reported Expertise,Automation Desire Rating,Time,Core Skill Rating,Job Security Rating,Enjoyment Rating,Reasons for Automation Desire - Free Time,Reasons for Automation Desire - Repetitive,Reasons for Automation Desire - Human Error,Reasons for Automation Desire - Stress,Reasons for Automation Desire - Difficulty,Reasons for Automation Desire - Scale,Physical Action Requirement,Interpersonal Communication Requirement,Involved Uncertainty,Domain Expertise Requirement,Human Agency Scale Rating,Reasons for Human Agency - Physical,Reasons for Human Agency - Control,Reasons for Human Agency - Domain Knowledge,Reasons for Human Agency - Empathy,Reasons for Human Agency - Quality Oversight,Reasons for Human Agency - Dynamic,Reasons for Human Agency - Ethical,Other Reason for Automation Desire,Other Reason for Human Agency
15583,Clinical Research Coordinators,"Review scientific literature, participate in continuing education activities, or attend conferences and seminars to maintain current knowledge of clinical studies affairs and issues.",f7544776-3a6b-4bd4-ab76-d8968065ffde,2025/2/25,Average,2,1,5,2,2,False,False,False,False,False,False,4,4,3,3,4,True,True,True,False,True,False,True,FALSE,
15590,Clinical Research Coordinators,Contact industry representatives to ensure equipment and software specifications necessary for successful study completion.,f7544776-3a6b-4bd4-ab76-d8968065ffde,2025/2/25,Average,5,1,3,2,2,True,True,True,True,True,False,2,2,2,2,2,False,False,False,False,False,False,False,,FALSE
15612,Clinical Research Coordinators,"Schedule subjects for appointments, procedures, or inpatient stays as required by study protocols.",f7544776-3a6b-4bd4-ab76-d8968065ffde,2025/2/25,Expert,3,1,3,2,2,True,False,False,False,False,True,1,2,1,2,2,False,False,False,False,False,False,False,,FALSE
15595,Clinical Research Coordinators,"Prepare study-related documentation, such as protocol worksheets, procedural manuals, adverse event reports, institutional review board documents, or progress reports.",f7544776-3a6b-4bd4-ab76-d8968065ffde,2025/2/25,Expert,2,3,4,1,4,False,False,False,False,False,False,1,2,2,4,4,False,False,True,True,True,True,False,FALSE,
15614,Clinical Research Coordinators,"Maintain required records of study activity including case report forms, drug dispensation records, or regulatory forms.",f7544776-3a6b-4bd4-ab76-d8968065ffde,2025/2/25,Expert,3,4,4,2,4,True,False,True,False,True,False,2,3,3,4,3,False,True,True,True,True,False,False,,
15592,Clinical Research Coordinators,Track enrollment status of subjects and document dropout information such as dropout causes and subject contact efforts.,f7544776-3a6b-4bd4-ab76-d8968065ffde,2025/2/25,Expert,3,3,3,4,3,True,True,False,True,False,False,2,2,3,4,1,False,False,False,False,False,False,False,,FALSE
15600,Clinical Research Coordinators,Maintain contact with sponsors to schedule and coordinate site visits or to answer questions about issues such as incomplete data.,f7544776-3a6b-4bd4-ab76-d8968065ffde,2025/2/25,Expert,5,1,2,1,1,False,True,True,True,False,False,1,5,1,1,2,False,False,False,False,False,False,False,,FALSE
15614,Clinical Research Coordinators,"Maintain required records of study activity including case report forms, drug dispensation records, or regulatory forms.",382dac7a-5a14-46b6-9a7b-e81193023e27,2025/2/25,Expert,3,1,2,2,2,False,True,False,False,False,True,1,2,1,3,2,False,False,False,False,False,False,False,,FALSE
15608,Clinical Research Coordinators,"Collaborate with investigators to prepare presentations or reports of clinical study procedures, results, and conclusions.",382dac7a-5a14-46b6-9a7b-e81193023e27,2025/2/25,Expert,1,3,5,5,5,False,False,False,False,False,False,1,5,5,5,5,False,True,True,True,True,True,True,FALSE,
15609,Clinical Research Coordinators,"Code, evaluate, or interpret collected study data.",382dac7a-5a14-46b6-9a7b-e81193023e27,2025/2/25,Expert,1,4,5,5,5,False,False,False,False,False,False,1,2,5,5,5,False,True,True,False,True,False,True,FALSE,
49,Medical and Health Services Managers,"Develop and maintain computerized record management systems to store and process data, such as personnel activities and information, and to produce reports.",a8219cce-3d26-4543-b828-5c717a848091,2025/1/23,Average,3,2,5,1,2,True,True,True,True,False,False,2,1,3,3,2,False,False,False,False,False,False,False,,FALSE
51,Medical and Health Services Managers,"Conduct and administer fiscal operations, including accounting, planning budgets, authorizing expenditures, establishing rates for services, and coordinating financial reporting.",a8219cce-3d26-4543-b828-5c717a848091,2025/1/23,Average,5,1,2,1,1,True,True,True,True,False,True,2,1,2,3,2,False,False,False,False,False,False,False,,FALSE
61,Medical and Health Services Managers,Review and analyze facility activities and data to aid planning and cash and risk management and to improve service utilization.,a8219cce-3d26-4543-b828-5c717a848091,2025/1/23,Average,5,1,1,1,2,False,False,True,False,False,True,1,1,1,2,2,False,False,False,False,False,False,False,,FALSE
15612,Clinical Research Coordinators,"Schedule subjects for appointments, procedures, or inpatient stays as required by study protocols.",382dac7a-5a14-46b6-9a7b-e81193023e27,2025/2/25,Expert,2,1,1,1,2,False,False,False,False,False,False,1,4,1,1,2,False,False,False,False,False,False,False,FALSE,FALSE
15595,Clinical Research Coordinators,"Prepare study-related documentation, such as protocol worksheets, procedural manuals, adverse event reports, institutional review board documents, or progress reports.",382dac7a-5a14-46b6-9a7b-e81193023e27,2025/2/25,Expert,2,1,3,3,1,False,False,False,False,False,False,1,3,4,4,4,False,True,True,True,True,False,True,FALSE,
15594,Clinical Research Coordinators,Record adverse event and side effect data and confer with investigators regarding the reporting of events to oversight agencies.,382dac7a-5a14-46b6-9a7b-e81193023e27,2025/2/25,Average,1,1,4,2,1,False,False,False,False,False,False,1,4,5,5,4,False,True,True,True,False,False,True,FALSE,
15593,Clinical Research Coordinators,"Review proposed study protocols to evaluate factors such as sample collection processes, data management plans, or potential subject risks.",382dac7a-5a14-46b6-9a7b-e81193023e27,2025/2/25,Expert,1,2,5,5,5,False,False,False,False,False,False,1,4,5,5,5,False,True,True,True,True,True,True,FALSE,
15592,Clinical Research Coordinators,Track enrollment status of subjects and document dropout information such as dropout causes and subject contact efforts.,382dac7a-5a14-46b6-9a7b-e81193023e27,2025/2/25,Average,3,1,1,1,1,True,False,True,False,False,True,1,3,2,2,2,False,False,False,False,False,False,False,,FALSE
15583,Clinical Research Coordinators,"Review scientific literature, participate in continuing education activities, or attend conferences and seminars to maintain current knowledge of clinical studies affairs and issues.",382dac7a-5a14-46b6-9a7b-e81193023e27,2025/2/25,Expert,1,1,5,5,5,False,False,False,False,False,False,4,5,4,5,5,True,True,True,True,True,True,True,FALSE,
15594,Clinical Research Coordinators,Record adverse event and side effect data and confer with investigators regarding the reporting of events to oversight agencies.,6c4415de-f3b6-4e2f-9097-ca4897f0e796,2025/2/26,Average,4,4,4,1,4,True,False,True,False,False,False,4,4,4,4,4,False,True,False,False,False,False,False,,
15608,Clinical Research Coordinators,"Collaborate with investigators to prepare presentations or reports of clinical study procedures, results, and conclusions.",6c4415de-f3b6-4e2f-9097-ca4897f0e796,2025/2/26,Average,4,4,4,1,4,True,False,False,False,False,True,4,4,4,4,5,False,False,False,False,True,True,True,,
15595,Clinical Research Coordinators,"Prepare study-related documentation, such as protocol worksheets, procedural manuals, adverse event reports, institutional review board documents, or progress reports.",fc93fbed-4d87-4423-a8b1-7f1f397a260c,2025/2/25,Expert,1,2,4,2,3,False,False,False,False,False,False,1,3,4,5,4,False,True,True,True,True,True,True,FALSE,
15593,Clinical Research Coordinators,"Review proposed study protocols to evaluate factors such as sample collection processes, data management plans, or potential subject risks.",fc93fbed-4d87-4423-a8b1-7f1f397a260c,2025/2/25,Novice,1,1,3,1,2,False,False,False,False,False,False,1,4,5,5,5,False,True,True,True,True,False,True,FALSE,
15609,Clinical Research Coordinators,"Code, evaluate, or interpret collected study data.",fc93fbed-4d87-4423-a8b1-7f1f397a260c,2025/2/25,Average,1,2,4,1,3,False,False,False,False,False,False,1,4,4,5,5,False,False,True,True,False,False,True,FALSE,
17254,Radiologists,"Perform or interpret the outcomes of diagnostic imaging procedures including magnetic resonance imaging (MRI), computer tomography (CT), positron emission tomography (PET), nuclear cardiology treadmill studies, mammography, or ultrasound.",c02dcb00-9af3-4f35-816a-f9048b4274b5,2025/2/15,Average,3,4,5,3,5,True,False,True,False,False,True,3,5,1,4,4,False,False,False,False,False,False,False,,FALSE
17239,Radiologists,Review or transmit images and information using picture archiving or communications systems.,c02dcb00-9af3-4f35-816a-f9048b4274b5,2025/2/15,Expert,4,4,3,2,4,True,False,True,False,False,True,4,4,1,4,2,False,False,False,False,False,False,False,,FALSE
17248,Radiologists,"Document the performance, interpretation, or outcomes of all procedures performed.",c02dcb00-9af3-4f35-816a-f9048b4274b5,2025/2/15,Expert,2,4,4,1,4,False,False,False,False,False,False,3,4,3,3,1,False,False,False,False,False,False,False,FALSE,FALSE
17249,Radiologists,Develop or monitor procedures to ensure adequate quality control of images.,c02dcb00-9af3-4f35-816a-f9048b4274b5,2025/2/15,Average,4,3,4,1,3,True,False,True,False,False,True,1,2,2,3,3,False,False,False,False,False,False,False,,FALSE
17234,Radiologists,Participate in continuing education activities to maintain and develop expertise.,c02dcb00-9af3-4f35-816a-f9048b4274b5,2025/2/15,Expert,1,4,5,1,5,False,False,False,False,False,False,1,3,1,1,1,False,False,False,False,False,False,False,FALSE,FALSE
17231,Radiologists,Participate in quality improvement activities including discussions of areas where risk of error is high.,c02dcb00-9af3-4f35-816a-f9048b4274b5,2025/2/15,Expert,1,3,4,3,4,False,False,False,False,False,False,1,1,1,2,1,False,False,False,False,False,False,False,FALSE,FALSE
17254,Radiologists,"Perform or interpret the outcomes of diagnostic imaging procedures including magnetic resonance imaging (MRI), computer tomography (CT), positron emission tomography (PET), nuclear cardiology treadmill studies, mammography, or ultrasound.",56631ad6-25ff-483f-ac0f-0843b955ca90,2025/2/19,Average,4,1,1,1,1,True,False,True,False,False,True,3,3,2,4,3,False,False,False,False,False,False,False,,FALSE
17239,Radiologists,Review or transmit images and information using picture archiving or communications systems.,56631ad6-25ff-483f-ac0f-0843b955ca90,2025/2/19,Expert,5,2,2,1,3,False,False,False,False,False,False,1,1,1,1,2,False,False,False,False,False,False,False,,FALSE
17248,Radiologists,"Document the performance, interpretation, or outcomes of all procedures performed.",56631ad6-25ff-483f-ac0f-0843b955ca90,2025/2/19,Expert,5,3,2,1,1,True,False,False,False,False,False,1,1,1,3,1,False,False,False,False,False,False,False,,FALSE
17234,Radiologists,Participate in continuing education activities to maintain and develop expertise.,56631ad6-25ff-483f-ac0f-0843b955ca90,2025/2/19,Average,1,3,3,1,3,False,False,False,False,False,False,1,3,1,1,4,False,False,False,False,False,False,False,FALSE,FALSE
15612,Clinical Research Coordinators,"Schedule subjects for appointments, procedures, or inpatient stays as required by study protocols.",603455d3-c17d-4460-9976-e1820a057eb8,2025/2/20,Average,3,5,4,5,3,True,True,False,True,False,False,3,3,2,4,2,False,False,False,False,False,False,False,,FALSE
15595,Clinical Research Coordinators,"Prepare study-related documentation, such as protocol worksheets, procedural manuals, adverse event reports, institutional review board documents, or progress reports.",72a40387-a6b7-4bf2-87cc-1df4b9e3b7f9,2025/2/26,Average,3,1,2,2,1,True,True,True,True,True,True,1,2,3,4,3,False,True,False,False,True,False,False,,
15600,Clinical Research Coordinators,Maintain contact with sponsors to schedule and coordinate site visits or to answer questions about issues such as incomplete data.,72a40387-a6b7-4bf2-87cc-1df4b9e3b7f9,2025/2/26,Expert,2,2,3,1,3,False,False,False,False,False,False,1,1,2,3,2,False,False,False,False,False,False,False,FALSE,FALSE
15612,Clinical Research Coordinators,"Schedule subjects for appointments, procedures, or inpatient stays as required by study protocols.",fc93fbed-4d87-4423-a8b1-7f1f397a260c,2025/2/25,Expert,1,1,1,1,2,False,False,False,False,False,False,1,5,4,3,3,False,True,True,True,False,True,False,FALSE,
15608,Clinical Research Coordinators,"Collaborate with investigators to prepare presentations or reports of clinical study procedures, results, and conclusions.",fc93fbed-4d87-4423-a8b1-7f1f397a260c,2025/2/25,Average,1,2,3,1,3,False,False,False,False,False,False,4,5,3,5,5,False,False,True,True,False,False,True,FALSE,
15583,Clinical Research Coordinators,"Review scientific literature, participate in continuing education activities, or attend conferences and seminars to maintain current knowledge of clinical studies affairs and issues.",fc93fbed-4d87-4423-a8b1-7f1f397a260c,2025/2/25,Average,1,2,4,1,4,False,False,False,False,False,False,2,5,3,5,5,False,False,True,True,False,True,False,FALSE,
15609,Clinical Research Coordinators,"Code, evaluate, or interpret collected study data.",72a40387-a6b7-4bf2-87cc-1df4b9e3b7f9,2025/2/26,Average,3,1,2,2,2,True,True,True,True,True,True,1,1,3,3,2,False,False,False,False,False,False,False,,FALSE
15612,Clinical Research Coordinators,"Schedule subjects for appointments, procedures, or inpatient stays as required by study protocols.",b803949b-191c-4536-b1f4-da62fef6c3cd,2025/2/20,Expert,5,1,2,1,3,True,True,True,False,False,False,4,5,1,1,1,False,False,False,False,False,False,False,,FALSE
15595,Clinical Research Coordinators,"Prepare study-related documentation, such as protocol worksheets, procedural manuals, adverse event reports, institutional review board documents, or progress reports.",b803949b-191c-4536-b1f4-da62fef6c3cd,2025/2/20,Expert,5,2,2,1,2,False,True,False,False,False,False,4,1,4,2,3,False,False,False,False,False,False,False,,FALSE
15594,Clinical Research Coordinators,Record adverse event and side effect data and confer with investigators regarding the reporting of events to oversight agencies.,b803949b-191c-4536-b1f4-da62fef6c3cd,2025/2/20,Average,2,1,1,5,2,False,False,False,False,False,False,4,1,4,5,2,False,False,False,False,False,False,False,FALSE,FALSE
15614,Clinical Research Coordinators,"Maintain required records of study activity including case report forms, drug dispensation records, or regulatory forms.",b803949b-191c-4536-b1f4-da62fef6c3cd,2025/2/20,Expert,5,4,4,1,4,True,True,False,False,False,False,1,1,2,2,5,False,False,False,False,False,False,False,,FALSE
15593,Clinical Research Coordinators,"Review proposed study protocols to evaluate factors such as sample collection processes, data management plans, or potential subject risks.",b803949b-191c-4536-b1f4-da62fef6c3cd,2025/2/20,Expert,3,4,5,3,3,False,False,False,True,False,False,3,3,4,5,3,False,False,False,False,False,False,False,,FALSE
15608,Clinical Research Coordinators,"Collaborate with investigators to prepare presentations or reports of clinical study procedures, results, and conclusions.",b803949b-191c-4536-b1f4-da62fef6c3cd,2025/2/20,Novice,1,5,5,5,5,False,False,False,False,False,False,5,5,5,5,1,False,False,False,False,False,False,False,FALSE,FALSE
15592,Clinical Research Coordinators,Track enrollment status of subjects and document dropout information such as dropout causes and subject contact efforts.,b803949b-191c-4536-b1f4-da62fef6c3cd,2025/2/20,Average,3,2,3,2,2,False,True,True,False,False,False,2,2,2,3,3,False,False,False,False,False,False,False,,FALSE
15609,Clinical Research Coordinators,"Code, evaluate, or interpret collected study data.",b803949b-191c-4536-b1f4-da62fef6c3cd,2025/2/20,Average,5,4,3,1,2,False,True,True,False,False,False,1,3,5,5,4,False,False,False,False,False,False,False,,FALSE
15598,Clinical Research Coordinators,Order drugs or devices necessary for study completion.,b803949b-191c-4536-b1f4-da62fef6c3cd,2025/2/20,Expert,1,4,5,5,4,False,False,False,False,False,False,5,5,5,5,1,False,False,False,False,False,False,False,FALSE,FALSE
15607,Clinical Research Coordinators,Communicate with laboratories or investigators regarding laboratory findings.,b803949b-191c-4536-b1f4-da62fef6c3cd,2025/2/20,Expert,1,5,5,5,4,False,False,False,False,False,False,5,5,5,5,1,False,False,False,False,False,False,False,FALSE,FALSE
15607,Clinical Research Coordinators,Communicate with laboratories or investigators regarding laboratory findings.,8de00e95-96fa-45b9-8f80-83b5754847ca,2025/2/20,Novice,3,2,2,1,3,False,False,True,False,True,False,2,1,1,1,2,False,False,False,False,False,False,False,none,FALSE
15594,Clinical Research Coordinators,Record adverse event and side effect data and confer with investigators regarding the reporting of events to oversight agencies.,07f0b117-19c0-42b7-b5cb-9894738c5137,2025/2/20,Average,2,1,2,1,1,False,False,False,False,False,False,3,3,2,3,4,False,False,False,False,False,False,False,FALSE,FALSE
15614,Clinical Research Coordinators,"Maintain required records of study activity including case report forms, drug dispensation records, or regulatory forms.",07f0b117-19c0-42b7-b5cb-9894738c5137,2025/2/20,Expert,4,3,3,4,3,True,False,False,False,False,False,4,4,4,3,4,False,False,False,False,False,False,False,,FALSE
15609,Clinical Research Coordinators,"Code, evaluate, or interpret collected study data.",07f0b117-19c0-42b7-b5cb-9894738c5137,2025/2/20,Average,3,2,2,2,3,False,True,False,False,False,False,3,3,2,3,3,False,False,False,False,False,False,False,,FALSE
15600,Clinical Research Coordinators,Maintain contact with sponsors to schedule and coordinate site visits or to answer questions about issues such as incomplete data.,07f0b117-19c0-42b7-b5cb-9894738c5137,2025/2/20,Novice,1,1,1,1,1,False,False,False,False,False,False,1,1,1,1,2,False,False,False,False,False,False,False,FALSE,FALSE
15595,Clinical Research Coordinators,"Prepare study-related documentation, such as protocol worksheets, procedural manuals, adverse event reports, institutional review board documents, or progress reports.",faadd65f-735c-4fe6-9856-949861cb561b,2025/2/26,Average,4,1,3,2,2,True,True,False,True,False,False,3,2,2,3,3,True,True,True,True,False,False,False,,
15608,Clinical Research Coordinators,"Collaborate with investigators to prepare presentations or reports of clinical study procedures, results, and conclusions.",faadd65f-735c-4fe6-9856-949861cb561b,2025/2/26,Average,4,1,2,1,2,True,False,False,True,True,False,1,1,2,1,2,False,False,False,False,False,False,False,,FALSE
15598,Clinical Research Coordinators,Order drugs or devices necessary for study completion.,faadd65f-735c-4fe6-9856-949861cb561b,2025/2/26,Average,5,1,2,1,1,True,True,False,False,False,False,1,1,1,1,1,False,False,False,False,False,False,False,,FALSE
15583,Clinical Research Coordinators,"Review scientific literature, participate in continuing education activities, or attend conferences and seminars to maintain current knowledge of clinical studies affairs and issues.",faadd65f-735c-4fe6-9856-949861cb561b,2025/2/26,Average,4,2,3,1,2,True,True,False,True,False,False,1,1,1,1,1,False,False,False,False,False,False,False,,FALSE
15583,Clinical Research Coordinators,"Review scientific literature, participate in continuing education activities, or attend conferences and seminars to maintain current knowledge of clinical studies affairs and issues.",562ea8b5-21b6-4498-b51c-af12b0f317bd,2025/2/26,Average,1,1,3,1,3,False,False,False,False,False,False,2,1,1,3,2,False,False,False,False,False,False,False,FALSE,FALSE
15612,Clinical Research Coordinators,"Schedule subjects for appointments, procedures, or inpatient stays as required by study protocols.",606591e8-acf5-4f88-bde3-fab85cc8783e,2025/2/20,Average,4,2,2,2,3,True,True,False,False,False,False,3,2,3,2,4,False,False,False,False,False,False,False,,FALSE
15595,Clinical Research Coordinators,"Prepare study-related documentation, such as protocol worksheets, procedural manuals, adverse event reports, institutional review board documents, or progress reports.",606591e8-acf5-4f88-bde3-fab85cc8783e,2025/2/20,Expert,1,4,4,2,4,False,False,False,False,False,False,3,4,3,4,3,False,False,False,False,False,False,False,FALSE,FALSE
15594,Clinical Research Coordinators,Record adverse event and side effect data and confer with investigators regarding the reporting of events to oversight agencies.,606591e8-acf5-4f88-bde3-fab85cc8783e,2025/2/20,Expert,1,5,5,4,5,False,False,False,False,False,False,3,3,4,3,3,False,False,False,False,False,False,False,FALSE,FALSE
15593,Clinical Research Coordinators,"Review proposed study protocols to evaluate factors such as sample collection processes, data management plans, or potential subject risks.",606591e8-acf5-4f88-bde3-fab85cc8783e,2025/2/20,Expert,1,4,3,4,4,False,False,False,False,False,False,3,2,3,4,3,False,False,False,False,False,False,False,FALSE,FALSE
15592,Clinical Research Coordinators,Track enrollment status of subjects and document dropout information such as dropout causes and subject contact efforts.,606591e8-acf5-4f88-bde3-fab85cc8783e,2025/2/20,Expert,1,4,4,4,4,False,False,False,False,False,False,4,3,4,4,4,False,False,False,False,False,False,False,FALSE,FALSE
15598,Clinical Research Coordinators,Order drugs or devices necessary for study completion.,606591e8-acf5-4f88-bde3-fab85cc8783e,2025/2/20,Expert,3,5,5,5,5,True,False,False,False,False,False,1,2,3,2,2,False,False,False,False,False,False,False,,FALSE
15598,Clinical Research Coordinators,Order drugs or devices necessary for study completion.,421979cb-6575-42e8-b059-1065fba0f1c6,2025/2/25,Novice,2,1,3,1,1,False,False,False,False,False,False,5,4,4,5,5,True,True,True,True,True,False,False,FALSE,
15594,Clinical Research Coordinators,Record adverse event and side effect data and confer with investigators regarding the reporting of events to oversight agencies.,faadd65f-735c-4fe6-9856-949861cb561b,2025/2/26,Average,3,1,2,1,2,True,False,False,True,True,False,2,2,2,2,2,False,False,False,False,False,False,False,,FALSE
15609,Clinical Research Coordinators,"Code, evaluate, or interpret collected study data.",faadd65f-735c-4fe6-9856-949861cb561b,2025/2/26,Average,2,1,3,2,3,False,False,False,False,False,False,1,1,1,2,2,False,False,False,False,False,False,False,FALSE,FALSE
15607,Clinical Research Coordinators,Communicate with laboratories or investigators regarding laboratory findings.,faadd65f-735c-4fe6-9856-949861cb561b,2025/2/26,Average,3,1,3,2,2,True,False,False,True,False,False,1,1,1,2,2,False,False,False,False,False,False,False,,FALSE
15590,Clinical Research Coordinators,Contact industry representatives to ensure equipment and software specifications necessary for successful study completion.,faadd65f-735c-4fe6-9856-949861cb561b,2025/2/26,Average,4,1,2,1,1,True,True,False,False,False,False,1,3,1,2,3,False,False,False,True,False,False,False,,
15614,Clinical Research Coordinators,"Maintain required records of study activity including case report forms, drug dispensation records, or regulatory forms.",606591e8-acf5-4f88-bde3-fab85cc8783e,2025/2/20,Expert,3,4,4,3,2,True,False,False,False,False,True,3,3,4,3,3,False,False,False,False,False,False,False,,FALSE
15608,Clinical Research Coordinators,"Collaborate with investigators to prepare presentations or reports of clinical study procedures, results, and conclusions.",606591e8-acf5-4f88-bde3-fab85cc8783e,2025/2/20,Expert,3,3,4,4,2,False,False,False,True,False,False,3,2,3,3,2,False,False,False,False,False,False,False,,FALSE
15600,Clinical Research Coordinators,Maintain contact with sponsors to schedule and coordinate site visits or to answer questions about issues such as incomplete data.,606591e8-acf5-4f88-bde3-fab85cc8783e,2025/2/20,Expert,1,4,5,5,5,False,False,False,False,False,False,4,4,4,3,4,False,False,False,False,False,False,False,FALSE,FALSE
15607,Clinical Research Coordinators,Communicate with laboratories or investigators regarding laboratory findings.,606591e8-acf5-4f88-bde3-fab85cc8783e,2025/2/20,Expert,4,4,4,3,4,True,True,False,True,False,False,3,3,4,3,2,False,False,False,False,False,False,False,,FALSE
15595,Clinical Research Coordinators,"Prepare study-related documentation, such as protocol worksheets, procedural manuals, adverse event reports, institutional review board documents, or progress reports.",3827855d-6dc0-4604-b689-abeaa1904151,2025/2/20,Average,3,1,1,5,4,True,True,True,False,False,True,1,1,2,3,4,False,False,False,False,False,False,False,,FALSE
15594,Clinical Research Coordinators,Record adverse event and side effect data and confer with investigators regarding the reporting of events to oversight agencies.,3827855d-6dc0-4604-b689-abeaa1904151,2025/2/20,Average,4,2,2,2,3,False,True,False,True,True,False,2,1,2,1,4,False,False,False,False,False,False,False,,FALSE
15614,Clinical Research Coordinators,"Maintain required records of study activity including case report forms, drug dispensation records, or regulatory forms.",3827855d-6dc0-4604-b689-abeaa1904151,2025/2/20,Average,4,3,3,4,1,True,True,False,False,True,False,2,1,2,2,3,False,False,False,False,False,False,False,,FALSE
15593,Clinical Research Coordinators,"Review proposed study protocols to evaluate factors such as sample collection processes, data management plans, or potential subject risks.",3827855d-6dc0-4604-b689-abeaa1904151,2025/2/20,Expert,5,3,3,5,2,False,False,False,False,True,False,4,2,4,2,4,False,False,False,False,False,False,False,,FALSE
15608,Clinical Research Coordinators,"Collaborate with investigators to prepare presentations or reports of clinical study procedures, results, and conclusions.",3827855d-6dc0-4604-b689-abeaa1904151,2025/2/20,Expert,3,4,4,2,3,False,True,False,False,False,False,1,1,1,2,3,False,False,False,False,False,False,False,,FALSE
15609,Clinical Research Coordinators,"Code, evaluate, or interpret collected study data.",3827855d-6dc0-4604-b689-abeaa1904151,2025/2/20,Novice,5,3,3,4,4,False,False,True,True,False,False,1,1,1,1,5,False,False,False,False,False,False,False,,FALSE
