O*NET-SOC Code,Occupation (O*NET-SOC Title),Task ID,Task,Task Type,Date,Category,Frequency,Importance,Relevance,Occupation Mean Annual Wage,Occupation Employment,Skill (O*NET Work Activity),Skill ID (O*NET Generalized Work Activity ID),Worker_Receptiveness,Job_Security_Fear_Rate,Desire_Reduce_Stress,Desire_Reduce_Error,Desire_Repetitive,Need_Empathy,Need_Ethics,Need_Oversight,AI_Capability,AI_Opportunity_Score,AI_Resistance_Gap,Ethics_Empathy_Need,Automation_Quadrant,Task_Impact_Score,Automation_ROI_Score,Medical_Risk_Score
11-9121.01,Clinical Research Coordinators,15593,"Review proposed study protocols to evaluate factors such as sample collection processes, data management plans, or potential subject risks.",Core,08/2021,3.0,3.0,4.22,89.22,,,['Analyzing Data or Information'],['4.A.2.a.4'],2.4,0.3,0.3,0.2,0.0,0.5,0.7,0.7,2.3333333333333335,2.3666666666666667,-0.06666666666666643,0.6,4. Thành Trì Con Người (Safe Haven),12.66,29.540000000000003,2.5319999999999996
11-9121.01,Clinical Research Coordinators,15608,"Collaborate with investigators to prepare presentations or reports of clinical study procedures, results, and conclusions.",Core,08/2021,3.0,3.0,4.11,76.34,,,"['Communicating with Supervisors, Peers, or Subordinates']",['4.A.4.a.2'],2.8,0.5,0.4,0.2,0.1,0.4,0.4,0.4,3.5,3.15,0.7000000000000002,0.4,2. Vùng Kháng Cự (Resistance),12.330000000000002,43.15500000000001,1.6440000000000001
11-9121.01,Clinical Research Coordinators,15592,Track enrollment status of subjects and document dropout information such as dropout causes and subject contact efforts.,Core,08/2021,5.0,5.0,4.08,83.81,,,['Documenting/Recording Information'],['4.A.3.b.6'],2.9,0.6,0.2,0.4,0.5,0.3,0.4,0.3,3.0,2.95,0.10000000000000009,0.35,2. Vùng Kháng Cự (Resistance),20.4,61.199999999999996,1.428
11-9121.01,Clinical Research Coordinators,15609,"Code, evaluate, or interpret collected study data.",Core,08/2021,3.0,3.0,4.07,72.21,,,"['Analyzing Data or Information', 'Working with Computers']","['4.A.2.a.4', '4.A.3.b.1']",2.8,0.6,0.3,0.3,0.4,0.2,0.3,0.3,4.0,3.4,1.2000000000000002,0.25,2. Vùng Kháng Cự (Resistance),12.21,48.84,1.0175
11-9121.01,Clinical Research Coordinators,15600,Maintain contact with sponsors to schedule and coordinate site visits or to answer questions about issues such as incomplete data.,Core,08/2021,3.0,3.0,3.96,68.66,,,"['Communicating with Supervisors, Peers, or Subordinates']",['4.A.4.a.2'],2.9,0.8,0.1,0.1,0.2,0.2,0.2,0.2,3.0,2.95,0.10000000000000009,0.2,2. Vùng Kháng Cự (Resistance),11.879999999999999,35.64,0.792
11-9121.01,Clinical Research Coordinators,15598,Order drugs or devices necessary for study completion.,Core,08/2021,3.0,3.0,3.85,70.47,,,['Monitoring and Controlling Resources'],['4.A.4.c.3'],3.3,0.5,0.2,0.4,0.4,0.5,0.4,0.5,4.5,3.9,1.2000000000000002,0.45,1. Mỏ Vàng AI (Quick Wins),11.55,51.975,1.7325000000000002
11-9121.01,Clinical Research Coordinators,15607,Communicate with laboratories or investigators regarding laboratory findings.,Core,08/2021,4.0,4.0,3.62,78.48,,,"['Communicating with Supervisors, Peers, or Subordinates']",['4.A.4.a.2'],3.4,0.6,0.4,0.6,0.5,0.2,0.1,0.1,2.0,2.7,-1.4,0.15000000000000002,3. Chờ Công Nghệ (Unmet Needs),14.48,28.96,0.5430000000000001
11-9121.01,Clinical Research Coordinators,15583,"Review scientific literature, participate in continuing education activities, or attend conferences and seminars to maintain current knowledge of clinical studies affairs and issues.",Core,08/2021,3.0,3.0,3.48,84.9,,,['Updating and Using Relevant Knowledge'],['4.A.2.b.3'],2.1,0.6,0.3,0.2,0.2,0.4,0.3,0.5,2.25,2.175,0.1499999999999999,0.35,4. Thành Trì Con Người (Safe Haven),10.44,23.49,1.218
11-9121.01,Clinical Research Coordinators,15590,Contact industry representatives to ensure equipment and software specifications necessary for successful study completion.,Supplemental,08/2021,4.0,4.0,3.58,49.05,,,"['Communicating with Supervisors, Peers, or Subordinates']",['4.A.4.a.2'],3.2222222222222223,0.8888888888888888,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.6666666666666666,0.2222222222222222,0.5555555555555556,2.3333333333333335,2.7777777777777777,-0.8888888888888888,0.4444444444444444,3. Chờ Công Nghệ (Unmet Needs),14.32,33.413333333333334,1.5911111111111111
11-9121.01,Clinical Research Coordinators,15584,Register protocol patients with appropriate statistical centers as required.,Supplemental,08/2021,4.0,4.0,3.48,44.36,,,['Performing Administrative Activities'],['4.A.4.c.1'],4.0,0.25,0.5,0.5,0.5,0.5,0.75,0.75,4.0,4.0,0.0,0.625,1. Mỏ Vàng AI (Quick Wins),13.92,55.68,2.175
15-1211.01,Health Informatics Specialists,18090,"Translate nursing practice information between nurses and systems engineers, analysts, or designers, using object-oriented models or other techniques.",Core,08/2024,3.0,3.0,4.81,100.0,,,"['Communicating with Supervisors, Peers, or Subordinates']",['4.A.4.a.2'],3.25,0.5,0.0,0.5,0.25,0.25,0.0,0.25,3.0,3.125,-0.25,0.125,1. Mỏ Vàng AI (Quick Wins),14.43,43.29,0.60125
15-1211.01,Health Informatics Specialists,18092,Use informatics science to design or implement health information technology applications for resolution of clinical or health care administrative problems.,Core,08/2024,6.0,6.0,4.71,100.0,,,['Thinking Creatively'],['4.A.2.b.2'],2.6666666666666665,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,2.6666666666666665,2.6666666666666665,0.0,0.0,4. Thành Trì Con Người (Safe Haven),28.259999999999998,75.35999999999999,0.0
15-1211.01,Health Informatics Specialists,18094,"Analyze and interpret patient, nursing, or information systems data to improve nursing services.",Core,08/2024,5.0,5.0,4.33,100.0,,,['Analyzing Data or Information'],['4.A.2.a.4'],2.8333333333333335,0.5,0.0,0.5,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0,2.916666666666667,0.16666666666666652,0.3333333333333333,2. Vùng Kháng Cự (Resistance),21.65,64.94999999999999,1.4433333333333334
15-1211.01,Health Informatics Specialists,18101,"Identify, collect, record, or analyze data relevant to the nursing care of patients.",Core,08/2024,5.0,5.0,4.24,100.0,,,"['Analyzing Data or Information', 'Documenting/Recording Information']","['4.A.2.a.4', '4.A.3.b.6']",3.1666666666666665,0.5,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.5,2.833333333333333,-0.6666666666666665,0.3333333333333333,3. Chờ Công Nghệ (Unmet Needs),21.200000000000003,53.00000000000001,1.4133333333333333
15-1211.01,Health Informatics Specialists,18093,"Develop, implement, or evaluate health information technology applications, tools, processes, or structures to assist nurses with data management.",Core,08/2024,3.0,3.0,4.15,100.0,,,"['Judging the Qualities of Objects, Services, or People', 'Thinking Creatively']","['4.A.2.a.1', '4.A.2.b.2']",2.5,0.25,0.25,0.25,0.25,0.5,0.5,0.5,3.0,2.75,0.5,0.5,2. Vùng Kháng Cự (Resistance),12.450000000000001,37.35,2.075
15-1211.01,Health Informatics Specialists,18088,"Design, develop, select, test, implement, and evaluate new or modified informatics solutions, data structures, and decision-support mechanisms to support patients, health care professionals, and their information management and human-computer and human-technology interactions within health care contexts.",Core,08/2024,4.0,4.0,4.14,100.0,,,"['Inspecting Equipment, Structures, or Materials', 'Judging the Qualities of Objects, Services, or People', 'Thinking Creatively']","['4.A.1.b.2', '4.A.2.a.1', '4.A.2.b.2']",2.6666666666666665,0.6666666666666666,0.16666666666666666,0.5,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.6666666666666665,2.6666666666666665,0.0,0.3333333333333333,4. Thành Trì Con Người (Safe Haven),16.56,44.16,1.38
15-1211.01,Health Informatics Specialists,18095,"Analyze computer and information technologies to determine applicability to nursing practice, education, administration, and research.",Core,08/2024,5.0,5.0,3.9,100.0,,,"['Judging the Qualities of Objects, Services, or People']",['4.A.2.a.1'],2.0,0.75,0.25,0.25,0.0,0.0,0.25,0.25,2.6666666666666665,2.333333333333333,0.6666666666666665,0.125,4. Thành Trì Con Người (Safe Haven),19.5,52.0,0.4875
15-1211.01,Health Informatics Specialists,18100,"Develop strategies, policies or procedures for introducing, evaluating, or modifying information technology applied to nursing practice, administration, education, or research.",Core,08/2024,3.0,3.0,3.81,100.0,,,['Developing Objectives and Strategies'],['4.A.2.b.4'],2.5,0.5,0.0,0.25,0.25,0.25,0.0,0.0,2.0,2.25,-0.5,0.125,4. Thành Trì Con Người (Safe Haven),11.43,22.86,0.47625
15-1211.01,Health Informatics Specialists,18103,Provide consultation to nurses regarding hardware or software configuration.,Core,08/2024,3.0,3.0,3.43,100.0,,,['Providing Consultation and Advice to Others'],['4.A.4.b.6'],2.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,4.0,3.0,2.0,0.0,2. Vùng Kháng Cự (Resistance),10.290000000000001,41.160000000000004,0.0
15-2041.01,Biostatisticians,16265,"Analyze clinical or survey data, using statistical approaches such as longitudinal analysis, mixed-effect modeling, logistic regression analyses, and model-building techniques.",Core,08/2021,3.0,3.0,4.39,100.0,,,['Analyzing Data or Information'],['4.A.2.a.4'],2.625,0.375,0.125,0.125,0.125,0.5,0.625,0.5,4.0,3.3125,1.375,0.5625,2. Vùng Kháng Cự (Resistance),13.169999999999998,52.67999999999999,2.469375
15-2041.01,Biostatisticians,16246,Calculate sample size requirements for clinical studies.,Core,08/2021,3.0,3.0,4.35,95.83,,,['Making Decisions and Solving Problems'],['4.A.2.b.1'],4.0,0.5,0.5,0.5,0.75,0.5,0.25,0.25,3.5,3.75,-0.5,0.375,1. Mỏ Vàng AI (Quick Wins),13.049999999999999,45.675,1.6312499999999999
15-2041.01,Biostatisticians,16252,Prepare tables and graphs to present clinical data or results.,Core,08/2021,3.0,3.0,4.3,95.83,,,['Thinking Creatively'],['4.A.2.b.2'],4.0,0.4444444444444444,0.1111111111111111,0.4444444444444444,0.6666666666666666,0.0,0.0,0.1111111111111111,3.0,3.5,-1.0,0.0,1. Mỏ Vàng AI (Quick Wins),12.899999999999999,38.699999999999996,0.0
15-2041.01,Biostatisticians,16249,Write program code to analyze data with statistical analysis software.,Core,08/2021,4.0,4.0,4.29,100.0,,,['Working with Computers'],['4.A.3.b.1'],2.6666666666666665,0.8333333333333334,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,4.0,3.333333333333333,1.3333333333333335,0.3333333333333333,2. Vùng Kháng Cự (Resistance),17.16,68.64,1.43
15-2041.01,Biostatisticians,16262,Review clinical or other medical research protocols and recommend appropriate statistical analyses.,Core,08/2021,3.0,3.0,4.18,95.83,,,['Making Decisions and Solving Problems'],['4.A.2.b.1'],2.6666666666666665,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.5,0.5,4.0,3.333333333333333,1.3333333333333335,0.41666666666666663,2. Vùng Kháng Cự (Resistance),12.54,50.16,1.7416666666666665
15-2041.01,Biostatisticians,16247,"Determine project plans, timelines, or technical objectives for statistical aspects of biological research studies.",Core,08/2021,3.0,3.0,4.17,100.0,,,"['Organizing, Planning, and Prioritizing Work']",['4.A.2.b.6'],,,,,,,,,,,,,Chưa xác định,12.51,,
15-2041.01,Biostatisticians,16248,Assign work to biostatistical assistants or programmers.,Core,08/2021,4.0,4.0,3.5,91.67,,,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4'],,,,,,,,,,,,,Chưa xác định,14.0,,
15-2051.02,Clinical Data Managers,16284,"Process clinical data, including receipt, entry, verification, or filing of information.",Core,07/2016,5.0,5.0,4.37,100.0,,,"['Processing Information', 'Working with Computers']","['4.A.2.a.2', '4.A.3.b.1']",3.5714285714285716,0.8571428571428571,0.42857142857142855,0.5714285714285714,0.7142857142857143,0.14285714285714285,0.0,0.14285714285714285,3.0,3.2857142857142856,-0.5714285714285716,0.07142857142857142,1. Mỏ Vàng AI (Quick Wins),21.85,65.55000000000001,0.3121428571428571
15-2051.02,Clinical Data Managers,16280,"Generate data queries, based on validation checks or errors and omissions identified during data entry, to resolve identified problems.",Core,07/2016,5.0,5.0,4.32,95.0,,,['Analyzing Data or Information'],['4.A.2.a.4'],4.0,0.5,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,3.0,3.5,-1.0,0.25,1. Mỏ Vàng AI (Quick Wins),21.6,64.80000000000001,1.08
15-2051.02,Clinical Data Managers,16279,Monitor work productivity or quality to ensure compliance with standard operating procedures.,Core,07/2016,5.0,5.0,4.05,100.0,,,"['Monitoring Processes, Materials, or Surroundings']",['4.A.1.a.2'],3.4,0.8,0.4,0.4,0.6,0.2,0.2,0.2,3.0,3.2,-0.3999999999999999,0.2,1. Mỏ Vàng AI (Quick Wins),20.25,60.75,0.81
15-2051.02,Clinical Data Managers,16277,"Prepare data analysis listings and activity, performance, or progress reports.",Core,07/2016,3.0,3.0,3.95,95.0,,,['Documenting/Recording Information'],['4.A.3.b.6'],3.375,0.5,0.25,0.375,0.25,0.375,0.5,0.375,3.5,3.4375,0.125,0.4375,1. Mỏ Vàng AI (Quick Wins),11.850000000000001,41.47500000000001,1.7281250000000001
15-2051.02,Clinical Data Managers,16283,Analyze clinical data using appropriate statistical tools.,Core,07/2016,3.0,3.0,3.71,70.0,,,['Analyzing Data or Information'],['4.A.2.a.4'],3.6666666666666665,0.5555555555555556,0.2222222222222222,0.3333333333333333,0.6666666666666666,0.1111111111111111,0.5555555555555556,0.5555555555555556,3.0,3.333333333333333,-0.6666666666666665,0.33333333333333337,1. Mỏ Vàng AI (Quick Wins),11.129999999999999,33.39,1.2366666666666668
15-2051.02,Clinical Data Managers,16270,Develop technical specifications for data management programming and communicate needs to information technology staff.,Core,07/2016,3.0,3.0,3.65,85.0,,,"['Developing Objectives and Strategies', 'Communicating with Supervisors, Peers, or Subordinates']","['4.A.2.b.4', '4.A.4.a.2']",3.5,0.6666666666666666,0.3333333333333333,0.5,0.3333333333333333,0.5,0.16666666666666666,0.3333333333333333,2.5,3.0,-1.0,0.3333333333333333,3. Chờ Công Nghệ (Unmet Needs),10.95,27.375,1.2166666666666666
15-2051.02,Clinical Data Managers,16274,"Track the flow of work forms, including in-house data flow or electronic forms transfer.",Core,07/2016,4.0,4.0,3.45,100.0,,,['Getting Information'],['4.A.1.a.1'],3.6666666666666665,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,2.5,3.083333333333333,-1.1666666666666665,0.5,3. Chờ Công Nghệ (Unmet Needs),13.8,34.5,1.725
19-1029.01,Bioinformatics Scientists,16786,Develop new software applications or customize existing applications to meet specific scientific project needs.,Core,07/2012,3.0,3.0,4.3,84.9,,,['Thinking Creatively'],['4.A.2.b.2'],3.6,0.6,0.4,0.4,0.0,0.4,0.4,0.4,4.0,3.8,0.3999999999999999,0.4,1. Mỏ Vàng AI (Quick Wins),12.899999999999999,51.599999999999994,1.72
19-1029.01,Bioinformatics Scientists,16790,Create novel computational approaches and analytical tools as required by research goals.,Core,07/2012,3.0,3.0,4.24,76.84,,,['Thinking Creatively'],['4.A.2.b.2'],3.0,0.25,0.0,0.5,0.0,0.25,0.0,0.5,4.0,3.5,1.0,0.125,1. Mỏ Vàng AI (Quick Wins),12.72,50.88,0.53
19-1029.01,Bioinformatics Scientists,16795,"Analyze large molecular datasets, such as raw microarray data, genomic sequence data, or proteomics data, for clinical or basic research purposes.",Core,07/2012,5.0,5.0,3.94,78.39,,,['Analyzing Data or Information'],['4.A.2.a.4'],2.8333333333333335,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,3.5,3.166666666666667,0.6666666666666665,0.25,2. Vùng Kháng Cự (Resistance),19.7,68.95,0.985
19-1029.01,Bioinformatics Scientists,16791,"Compile data for use in activities, such as gene expression profiling, genome annotation, or structural bioinformatics.",Core,07/2012,3.0,3.0,3.75,81.88,,,['Getting Information'],['4.A.1.a.1'],4.0,0.6,0.2,0.4,0.4,0.2,0.4,0.2,4.0,4.0,0.0,0.30000000000000004,1. Mỏ Vàng AI (Quick Wins),11.25,45.0,1.1250000000000002
19-1029.01,Bioinformatics Scientists,16793,"Manipulate publicly accessible, commercial, or proprietary genomic, proteomic, or post-genomic databases.",Core,07/2012,5.0,5.0,3.71,86.64,,,['Thinking Creatively'],['4.A.2.b.2'],4.166666666666667,0.5,0.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,3.5,3.8333333333333335,-0.666666666666667,0.08333333333333333,1. Mỏ Vàng AI (Quick Wins),18.55,64.925,0.30916666666666665
19-1029.01,Bioinformatics Scientists,16788,Create or modify web-based bioinformatics tools.,Core,07/2012,3.0,3.0,3.38,77.72,,,['Thinking Creatively'],['4.A.2.b.2'],3.75,0.5,0.0,0.25,0.5,0.0,0.0,0.0,3.6666666666666665,3.708333333333333,-0.08333333333333348,0.0,1. Mỏ Vàng AI (Quick Wins),10.14,37.18,0.0
19-1029.01,Bioinformatics Scientists,16783,Instruct others in the selection and use of bioinformatics tools.,Supplemental,07/2012,3.0,3.0,2.86,91.25,,,['Training and Teaching Others'],['4.A.4.b.3'],2.5,0.5,0.25,0.25,0.25,0.5,0.25,0.25,3.3333333333333335,2.916666666666667,0.8333333333333335,0.375,2. Vùng Kháng Cự (Resistance),8.58,28.6,1.0725
19-1029.02,Molecular and Cellular Biologists,16807,Maintain accurate laboratory records and data.,Core,08/2021,5.0,5.0,4.65,100.0,,,['Documenting/Recording Information'],['4.A.3.b.6'],2.857142857142857,0.7142857142857143,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,2.5,2.678571428571429,-0.3571428571428572,0.14285714285714285,4. Thành Trì Con Người (Safe Haven),23.25,58.125,0.6642857142857143
19-1029.02,Molecular and Cellular Biologists,23905,"Prepare or review reports, manuscripts, or meeting presentations.",Core,08/2021,3.0,3.0,4.23,100.0,,,"['Getting Information', 'Evaluating Information to Determine Compliance with Standards', 'Documenting/Recording Information']","['4.A.1.a.1', '4.A.2.a.3', '4.A.3.b.6']",3.1666666666666665,0.5,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,3.3333333333333335,3.25,0.16666666666666696,0.25,1. Mỏ Vàng AI (Quick Wins),12.690000000000001,42.300000000000004,1.0575
19-1029.02,Molecular and Cellular Biologists,16808,Instruct undergraduate and graduate students within the areas of cellular or molecular biology.,Core,08/2021,4.0,4.0,4.19,100.0,,,['Training and Teaching Others'],['4.A.4.b.3'],2.7142857142857144,0.7142857142857143,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.2857142857142857,2.0,2.357142857142857,-0.7142857142857144,0.4285714285714286,4. Thành Trì Con Người (Safe Haven),16.76,33.52,1.795714285714286
19-1029.02,Molecular and Cellular Biologists,16814,Compile and analyze molecular or cellular experimental data and adjust experimental designs as necessary.,Core,08/2021,5.0,5.0,4.12,100.0,,,['Analyzing Data or Information'],['4.A.2.a.4'],3.3333333333333335,0.5,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,2.3333333333333335,2.8333333333333335,-1.0,0.25,3. Chờ Công Nghệ (Unmet Needs),20.6,48.06666666666667,1.03
19-1029.02,Molecular and Cellular Biologists,16809,Evaluate new technologies to enhance or complement current research.,Core,08/2021,3.0,3.0,4.08,100.0,,,"['Judging the Qualities of Objects, Services, or People']",['4.A.2.a.1'],3.0,0.4,0.2,0.4,0.0,0.2,0.2,0.2,2.0,2.5,-1.0,0.2,3. Chờ Công Nghệ (Unmet Needs),12.24,24.48,0.8160000000000001
29-1224.00,Radiologists,17242,Prepare comprehensive interpretive reports of findings.,Core,08/2023,7.0,7.0,4.98,86.65,359820.0,26290.0,['Documenting/Recording Information'],['4.A.3.b.6'],3.0,0.5,0.0,0.25,0.5,0.0,0.0,0.0,2.5,2.75,-0.5,0.0,3. Chờ Công Nghệ (Unmet Needs),34.86,87.15,0.0
29-1224.00,Radiologists,17254,"Perform or interpret the outcomes of diagnostic imaging procedures including magnetic resonance imaging (MRI), computer tomography (CT), positron emission tomography (PET), nuclear cardiology treadmill studies, mammography, or ultrasound.",Core,08/2023,7.0,7.0,4.92,96.34,359820.0,26290.0,"['Analyzing Data or Information', 'Controlling Machines and Processes']","['4.A.2.a.4', '4.A.3.a.3']",2.6666666666666665,0.1111111111111111,0.0,0.4444444444444444,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.5555555555555556,3.0,2.833333333333333,0.3333333333333335,0.1111111111111111,2. Vùng Kháng Cự (Resistance),34.44,103.32,0.5466666666666666
29-1224.00,Radiologists,17248,"Document the performance, interpretation, or outcomes of all procedures performed.",Core,08/2023,7.0,7.0,4.87,89.13,359820.0,26290.0,['Documenting/Recording Information'],['4.A.3.b.6'],4.0,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.0,0.14285714285714285,2.5,3.25,-1.5,0.07142857142857142,3. Chờ Công Nghệ (Unmet Needs),34.09,85.22500000000001,0.34785714285714286
29-1224.00,Radiologists,17239,Review or transmit images and information using picture archiving or communications systems.,Core,08/2023,7.0,7.0,4.84,97.05,359820.0,26290.0,"['Analyzing Data or Information', 'Performing Administrative Activities']","['4.A.2.a.4', '4.A.4.c.1']",3.888888888888889,0.3333333333333333,0.2222222222222222,0.5555555555555556,0.4444444444444444,0.3333333333333333,0.0,0.3333333333333333,3.0,3.4444444444444446,-0.8888888888888888,0.16666666666666666,1. Mỏ Vàng AI (Quick Wins),33.879999999999995,101.63999999999999,0.8066666666666666
29-1224.00,Radiologists,17249,Develop or monitor procedures to ensure adequate quality control of images.,Core,08/2023,7.0,7.0,4.6,94.85,359820.0,26290.0,['Thinking Creatively'],['4.A.2.b.2'],3.6,0.6,0.4,0.6,0.4,0.4,0.2,0.2,2.0,2.8,-1.6,0.30000000000000004,3. Chờ Công Nghệ (Unmet Needs),32.199999999999996,64.39999999999999,1.3800000000000001
29-1224.00,Radiologists,17234,Participate in continuing education activities to maintain and develop expertise.,Core,08/2023,3.0,3.0,4.25,98.41,359820.0,26290.0,['Updating and Using Relevant Knowledge'],['4.A.2.b.3'],2.0,0.7777777777777778,0.0,0.1111111111111111,0.0,0.2222222222222222,0.1111111111111111,0.1111111111111111,2.5,2.25,0.5,0.16666666666666666,4. Thành Trì Con Người (Safe Haven),12.75,31.875,0.7083333333333333
